보안등위치명,설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
217-9206,1,,충청북도 청주시 상당구 미원면 성대리 599-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9207,1,,충청북도 청주시 상당구 미원면 성대리 2-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9208,1,,충청북도 청주시 상당구 미원면 성대리 595-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9209,1,,충청북도 청주시 상당구 미원면 성대리 655-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9211,1,,충청북도 청주시 상당구 미원면 성대리 652-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9212,1,,충청북도 청주시 상당구 미원면 성대리 652-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9213,1,,충청북도 청주시 상당구 미원면 성대리 652-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9214,1,,충청북도 청주시 상당구 미원면 성대리 232-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9215,1,,충청북도 청주시 상당구 미원면 성대리 608-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9216,1,,충청북도 청주시 상당구 미원면 성대리 608-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9217,1,,충청북도 청주시 상당구 미원면 성대리 18-1,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9218,1,,충청북도 청주시 상당구 미원면 성대리 18-1,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9219,1,,충청북도 청주시 상당구 미원면 성대리 221-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9220,1,,충청북도 청주시 상당구 미원면 성대리 596-11,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9221,1,,충청북도 청주시 상당구 미원면 성대리 596-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9222,1,,충청북도 청주시 상당구 미원면 성대리 596-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9223,1,,충청북도 청주시 상당구 미원면 성대리 197-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9224,1,,충청북도 청주시 상당구 미원면 성대리 596-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9225,1,,충청북도 청주시 상당구 미원면 성대리 596-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9226,1,,충청북도 청주시 상당구 미원면 성대리 572-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9227,1,,충청북도 청주시 상당구 미원면 성대리 572-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9228,1,,충청북도 청주시 상당구 미원면 성대리 575-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9229,1,,충청북도 청주시 상당구 미원면 성대리 22-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9230,1,,충청북도 청주시 상당구 미원면 성대리 596-13,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9231,1,,충청북도 청주시 상당구 미원면 성대리 596-14,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9232,1,,충청북도 청주시 상당구 미원면 성대리 552-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9233,1,,충청북도 청주시 상당구 미원면 성대리 561-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9234,1,,충청북도 청주시 상당구 미원면 성대리 547-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9235,1,,충청북도 청주시 상당구 미원면 성대리 27-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9236,1,,충청북도 청주시 상당구 미원면 성대리 486-9,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9237,1,,충청북도 청주시 상당구 미원면 성대리 604-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9238,1,,충청북도 청주시 상당구 미원면 성대리 413-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9239,1,,충청북도 청주시 상당구 미원면 성대리 411-1,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9240,1,,충청북도 청주시 상당구 미원면 성대리 411-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9241,1,,충청북도 청주시 상당구 미원면 성대리 610-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9242,1,,충청북도 청주시 상당구 미원면 성대리 505-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9243,1,,충청북도 청주시 상당구 미원면 성대리 505-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9244,1,,충청북도 청주시 상당구 미원면 성대리 350-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9245,1,,충청북도 청주시 상당구 미원면 성대리 355-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9246,1,,충청북도 청주시 상당구 미원면 성대리 635-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9247,1,,충청북도 청주시 상당구 미원면 성대리 604-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9248,1,,충청북도 청주시 상당구 미원면 성대리 101-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9249,1,,충청북도 청주시 상당구 미원면 성대리 625-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9250,1,,충청북도 청주시 상당구 미원면 성대리 357-1,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9251,1,,충청북도 청주시 상당구 미원면 성대리 610-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9252,1,,충청북도 청주시 상당구 미원면 성대리 340-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9253,1,,충청북도 청주시 상당구 미원면 어암리 0-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9254,1,,충청북도 청주시 상당구 미원면 어암리 0-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9255,1,,충청북도 청주시 상당구 미원면 어암리 0-2,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9256,1,,충청북도 청주시 상당구 미원면 성대리 12-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9257,1,,충청북도 청주시 상당구 미원면 성대리 604-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9258,1,,충청북도 청주시 상당구 미원면 성대리 636-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9259,1,,충청북도 청주시 상당구 미원면 수산리 491-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9260,1,,충청북도 청주시 상당구 미원면 수산리 491-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9261,1,,충청북도 청주시 상당구 미원면 수산리 491-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9262,1,,충청북도 청주시 상당구 미원면 수산리 278-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9263,1,,충청북도 청주시 상당구 미원면 대신리 476-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9264,1,,충청북도 청주시 상당구 미원면 기암리(基岩) 333-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9265,1,,충청북도 청주시 상당구 미원면 기암리(基岩) 409-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9266,1,,충청북도 청주시 상당구 미원면 미원리 684-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9267,1,,충청북도 청주시 상당구 미원면 미원리 520-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9268,1,,충청북도 청주시 상당구 미원면 금관리 652-3,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9269,1,,충청북도 청주시 상당구 미원면 옥화리 195-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9270,1,,충청북도 청주시 상당구 미원면 용곡리 550-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9271,1,,충청북도 청주시 상당구 미원면 중리 456-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9272,1,,충청북도 청주시 상당구 미원면 구방리 425-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9273,1,,충청북도 청주시 상당구 미원면 옥화리 360-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9274,1,,충청북도 청주시 상당구 미원면 화원리 589-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9275,1,,충청북도 청주시 상당구 미원면 화원리 531-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9276,1,,충청북도 청주시 상당구 미원면 옥화리 132-3,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9277,1,,충청북도 청주시 상당구 미원면 옥화리 361-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9278,1,,충청북도 청주시 상당구 미원면 가양리 36-2,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9279,1,,충청북도 청주시 상당구 미원면 가양리 262-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9280,1,,충청북도 청주시 상당구 미원면 가양리 268-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9281,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 69-20,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9282,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 69-14,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9283,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 259-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9284,1,,충청북도 청주시 상당구 미원면 화원리 12-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9285,1,,충청북도 청주시 상당구 미원면 화원리 12-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9286,1,,충청북도 청주시 상당구 미원면 대신리 307-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9287,1,,충청북도 청주시 상당구 미원면 옥화리 37-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9288,1,,충청북도 청주시 상당구 미원면 용곡리 207-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9289,1,,충청북도 청주시 상당구 미원면 월용리 53-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9291,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 218-2,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9292,1,,충청북도 청주시 상당구 미원면 성대리 604-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9293,1,,충청북도 청주시 상당구 미원면 어암리 219-4,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9294,1,,충청북도 청주시 상당구 미원면 금관리 626-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9295,1,,충청북도 청주시 상당구 미원면 금관리 626-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9296,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 277-13,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9297,1,,충청북도 청주시 상당구 미원면 기암리(基岩) 94-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9298,1,,충청북도 청주시 상당구 미원면 대신리 303-6,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9299,1,,충청북도 청주시 상당구 미원면 성대리 656-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9300,1,,충청북도 청주시 상당구 미원면 어암리 219-4,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9301,1,,충청북도 청주시 상당구 미원면 옥화리 141-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9302,1,,충청북도 청주시 상당구 미원면 옥화리 148-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9303,1,,충청북도 청주시 상당구 미원면 중리 24-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9304,1,,충청북도 청주시 상당구 미원면 미원리 216-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9305,1,,충청북도 청주시 상당구 미원면 화원리 64-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9306,1,,충청북도 청주시 상당구 미원면 계원리 666-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9307,1,,충청북도 청주시 상당구 미원면 종암리 150-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9308,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 164-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9309,1,,충청북도 청주시 상당구 미원면 가양리 521-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9310,1,,충청북도 청주시 상당구 미원면 대덕리 118-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9311,1,,충청북도 청주시 상당구 미원면 미원리 175-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9312,1,,충청북도 청주시 상당구 미원면 화원리 142-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9313,1,,충청북도 청주시 상당구 미원면 화원리 598-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9314,1,,충청북도 청주시 상당구 미원면 화창리 295-1,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9315,1,,충청북도 청주시 상당구 미원면 운용리 277-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9316,1,,충청북도 청주시 상당구 미원면 대신리 274-1,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9317,1,,충청북도 청주시 상당구 미원면 구방리 425-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9318,1,,충청북도 청주시 상당구 미원면 대신리 53-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9319,1,,충청북도 청주시 상당구 미원면 대신리 82-1,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9320,1,,충청북도 청주시 상당구 미원면 성대리 604-0,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9321,1,,충청북도 청주시 상당구 미원면 수산리 79-3,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9322,1,,충청북도 청주시 상당구 미원면 쌍이리 368-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9324,1,,충청북도 청주시 상당구 미원면 화창리 140-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9325,1,,충청북도 청주시 상당구 미원면 용곡리 110-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9326,1,,충청북도 청주시 상당구 미원면 운용리 272-3,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9327,1,,충청북도 청주시 상당구 미원면 월용리 24-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9328,1,,충청북도 청주시 상당구 미원면 내산리 281-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9329,1,,충청북도 청주시 상당구 미원면 미원리 547-3,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9330,1,,충청북도 청주시 상당구 미원면 대덕리 145-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9331,1,,충청북도 청주시 상당구 미원면 옥화리 157-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9332,1,,충청북도 청주시 상당구 미원면 옥화리 363-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9333,1,,충청북도 청주시 상당구 미원면 옥화리 361-0,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
217-9334,1,,충청북도 청주시 상당구 미원면 운교리 39-4,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9335,1,,충청북도 청주시 상당구 미원면 운교리 32-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9336,1,,충청북도 청주시 상당구 미원면 중리 494-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9337,1,,충청북도 청주시 상당구 미원면 중리 64-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9338,1,,충청북도 청주시 상당구 미원면 기암리(岐岩) 53-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9340,1,,충청북도 청주시 상당구 미원면 월용리 628-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
217-9341,1,,충청북도 청주시 상당구 미원면 미원리 705-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0001,1,,충청북도 청주시 상당구 가덕면 청용리 146-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0002,1,,충청북도 청주시 상당구 가덕면 청용리 761-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0003,1,,충청북도 청주시 상당구 가덕면 청용리 762-0,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0004,1,,충청북도 청주시 상당구 가덕면 청용리 638-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0005,1,,충청북도 청주시 상당구 가덕면 청용리 762-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0006,1,,충청북도 청주시 상당구 가덕면 청용리 536-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0007,1,,충청북도 청주시 상당구 가덕면 청용리 762-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0008,1,,충청북도 청주시 상당구 가덕면 청용리 531-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0009,1,,충청북도 청주시 상당구 가덕면 청용리 762-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0010,1,,충청북도 청주시 상당구 가덕면 청용리 101-3,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0011,1,,충청북도 청주시 상당구 가덕면 청용리 751-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0012,1,,충청북도 청주시 상당구 가덕면 청용리 752-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0013,1,,충청북도 청주시 상당구 가덕면 청용리 742-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0014,1,,충청북도 청주시 상당구 가덕면 청용리 500-2,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0015,1,,충청북도 청주시 상당구 가덕면 청용리 510-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0016,1,,충청북도 청주시 상당구 가덕면 청용리 764-0,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0017,1,,충청북도 청주시 상당구 가덕면 청용리 748-0,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0018,1,,충청북도 청주시 상당구 가덕면 청용리 773-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0019,1,,충청북도 청주시 상당구 가덕면 청용리 785-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0020,1,,충청북도 청주시 상당구 가덕면 청용리 740-3,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0021,1,,충청북도 청주시 상당구 가덕면 청용리 296-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0022,1,,충청북도 청주시 상당구 가덕면 청용리 741-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0023,1,,충청북도 청주시 상당구 가덕면 청용리 781-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0024,1,,충청북도 청주시 상당구 가덕면 청용리 303-6,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0025,1,,충청북도 청주시 상당구 가덕면 청용리 299-1,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0026,1,,충청북도 청주시 상당구 가덕면 청용리 206-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0027,1,,충청북도 청주시 상당구 가덕면 청용리 777-0,,,2024,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0028,1,,충청북도 청주시 상당구 가덕면 청용리 777-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0029,1,,충청북도 청주시 상당구 가덕면 청용리 777-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0030,1,,충청북도 청주시 상당구 가덕면 청용리 223-12,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0031,1,,충청북도 청주시 상당구 가덕면 청용리 217-3,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0032,1,,충청북도 청주시 상당구 가덕면 청용리 739-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0033,1,,충청북도 청주시 상당구 가덕면 청용리 724-0,,,2023,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0034,1,,충청북도 청주시 상당구 가덕면 청용리 217-5,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0035,1,,충청북도 청주시 상당구 가덕면 청용리 69-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0036,1,,충청북도 청주시 상당구 가덕면 청용리 778-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0037,1,,충청북도 청주시 상당구 가덕면 청용리 388-6,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0038,1,,충청북도 청주시 상당구 가덕면 청용리 389-3,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0039,1,,충청북도 청주시 상당구 가덕면 청용리 378-3,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0040,1,,충청북도 청주시 상당구 가덕면 청용리 379-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0041,1,,충청북도 청주시 상당구 가덕면 청용리 724-12,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0042,1,,충청북도 청주시 상당구 가덕면 청용리 778-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0043,1,,충청북도 청주시 상당구 가덕면 청용리 724-12,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0044,1,,충청북도 청주시 상당구 가덕면 청용리 341-4,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0045,1,,충청북도 청주시 상당구 가덕면 청용리 724-12,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0046,1,,충청북도 청주시 상당구 가덕면 청용리 724-3,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0047,1,,충청북도 청주시 상당구 가덕면 청용리 331-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0048,1,,충청북도 청주시 상당구 가덕면 청용리 214-6,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0049,1,,충청북도 청주시 상당구 가덕면 청용리 16-1,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0050,1,,충청북도 청주시 상당구 가덕면 청용리 24-1,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0051,1,,충청북도 청주시 상당구 가덕면 청용리 23-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0052,1,,충청북도 청주시 상당구 가덕면 청용리 23-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0053,1,,충청북도 청주시 상당구 가덕면 청용리 23-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0054,1,,충청북도 청주시 상당구 가덕면 상대리 261-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0055,1,,충청북도 청주시 상당구 가덕면 상대리 277-2,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0056,1,,충청북도 청주시 상당구 가덕면 상대리 528-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0057,1,,충청북도 청주시 상당구 가덕면 상대리 532-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0058,1,,충청북도 청주시 상당구 가덕면 상대리 277-1,,,2022,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0059,1,,충청북도 청주시 상당구 가덕면 상대리 281-14,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0060,1,,충청북도 청주시 상당구 가덕면 상대리 128-0,,,2021,전용주,043-201-2773,충청북도 청주시청,2025-06-24
219-0061,1,,충청북도 청주시 상당구 가덕면 상대리 532-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0062,1,,충청북도 청주시 상당구 가덕면 노동리 482-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0063,1,,충청북도 청주시 상당구 가덕면 상대리 530-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0064,1,,충청북도 청주시 상당구 가덕면 상대리 530-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0065,1,,충청북도 청주시 상당구 가덕면 상대리 56-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0066,1,,충청북도 청주시 상당구 가덕면 상대리 55-4,,,2025,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0067,1,,충청북도 청주시 상당구 가덕면 상대리 270-25,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0068,1,,충청북도 청주시 상당구 가덕면 상대리 319-5,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0069,1,,충청북도 청주시 상당구 가덕면 상대리 321-2,,,2024,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0070,1,,충청북도 청주시 상당구 가덕면 상대리 53-0,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0071,1,,충청북도 청주시 상당구 가덕면 상대리 53-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0072,1,,충청북도 청주시 상당구 가덕면 상대리 319-2,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0073,1,,충청북도 청주시 상당구 가덕면 상대리 534-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0074,1,,충청북도 청주시 상당구 가덕면 상대리 362-0,,,2021,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0075,1,,충청북도 청주시 상당구 가덕면 삼항리 270-8,,,2022,한전주,043-201-2773,충청북도 청주시청,2025-06-24
219-0078,1,,충청북도 청주시 상당구 가덕면 청용리 139-4,,,2023,한전주,043-201-2773,충청북도 청주시청,2025-06-24
